ID,Condition,Group,Expectation,Instructions,Trial,Y_axis,X_axis,Radial.Error,Constant_X,Constant_Y,BVE
2,b6,TTA,Test,Analogy,2,-9.761,13.53,16.6834655,13.53,-9.761,581.7210514
2,b6,TTA,Test,Analogy,3,2.69,-14.636,14.88114901,-14.636,2.69,1684.849926
2,b6,TTA,Test,Analogy,4,-34.645,-6.756,35.29758577,-6.756,-34.645,169.7651454
2,b6,TTA,Test,Analogy,5,-49.893,13.671,51.73207603,13.671,-49.893,351.8969062
2,b6,TTA,Test,Analogy,6,-117.378,-8.868,117.7125155,-8.868,-117.378,7392.489654
2,b6,TTA,Test,Analogy,7,45.565,20.693,50.04367566,20.693,45.565,6340.09278
2,b6,TTA,Test,Analogy,8,20.951,17.672,27.40883042,17.672,20.951,3013.431362
2,b6,TTA,Test,Analogy,9,-73.553,9.419,74.15363356,9.419,-73.553,1678.429744
2,b6,TTA,Test,Analogy,10,-92.623,-12.417,93.45160254,-12.417,-92.623,3932.764261
2,hp,TTA,Test,Analogy,1,55.633,8.011,56.20682174,8.011,55.633,2110.481318
2,hp,TTA,Test,Analogy,2,30.487,16.634,34.72962892,16.634,30.487,501.3791861
2,hp,TTA,Test,Analogy,3,-38.108,3.727,38.2898184,3.727,-38.108,2306.185127
2,hp,TTA,Test,Analogy,4,-10.459,13.074,16.74276432,13.074,-10.459,428.6975913
2,hp,TTA,Test,Analogy,5,49.569,17.302,52.50185678,17.302,49.569,1670.588793
2,hp,TTA,Test,Analogy,6,89.875,8.261,90.25386278,8.261,89.875,6428.980859
2,hp,TTA,Test,Analogy,7,-89.875,3.143,89.92993981,3.143,-89.875,9940.861908
2,hp,TTA,Test,Analogy,8,11.933,-15.772,19.777575,-15.772,11.933,585.6925405
2,hp,TTA,Test,Analogy,9,137.608,15.883,138.5215916,15.883,137.608,16419.08464
2,hp,TTA,Test,Analogy,10,-139.722,12.99,140.3245431,12.99,-139.722,22346.93037
2,lp,TTA,Test,Analogy,1,-37.1,14.012,39.65786358,14.012,-37.1,1333.018498
2,lp,TTA,Test,Analogy,2,-30.731,13.122,33.4152846,13.122,-30.731,905.6616157
2,lp,TTA,Test,Analogy,3,-50.553,11.213,51.78162973,11.213,-50.553,2485.35281
2,lp,TTA,Test,Analogy,4,39.179,9.547,40.32541692,9.547,39.179,1592.96794
2,lp,TTA,Test,Analogy,5,38.348,24.612,45.56665061,24.612,38.348,1705.219413
2,lp,TTA,Test,Analogy,6,-28.143,7.957,29.24623562,7.957,-28.143,763.5037589
2,lp,TTA,Test,Analogy,7,98.925,15.505,100.1327152,15.505,98.925,9943.811569
2,lp,TTA,Test,Analogy,8,-40.787,-12.746,42.73218793,-12.746,-40.787,2179.306335
2,lp,TTA,Test,Analogy,9,4.184,13.535,14.16693619,13.535,4.184,29.4102181
2,lp,TTA,Test,Analogy,10,-0.319,15.014,15.01738849,15.014,-0.319,14.8667341
5,pt,TTE,Test,Explicit,1,-18.561,-36.785,41.2025114,-36.785,-18.561,2263.607148
5,pt,TTE,Test,Explicit,2,143.474,13.45,144.1030575,13.45,143.474,16542.20061
5,pt,TTE,Test,Explicit,3,-55.703,-20.762,59.44648731,-20.762,-55.703,5426.814359
5,pt,TTE,Test,Explicit,4,14.075,7.354,15.88039486,7.354,14.075,136.5497373
5,pt,TTE,Test,Explicit,5,8.643,5.528,10.25964098,5.528,8.643,149.0017873
5,pt,TTE,Test,Explicit,6,31.445,7.686,32.37070622,7.686,31.445,376.7576117
5,pt,TTE,Test,Explicit,7,12.346,-4.063,12.99737223,-4.063,12.346,13.86866825
5,pt,TTE,Test,Explicit,8,3.349,-18.511,18.81151036,-18.511,3.349,367.7416429
5,pt,TTE,Test,Explicit,9,62.709,-21.377,66.25250795,-21.377,62.709,2471.729902
5,pt,TTE,Test,Explicit,10,-41.089,25.879,48.55953626,25.879,-41.089,4169.36163
5,b1,TTE,Test,Explicit,1,-59.575,1.854,59.60384166,1.854,-59.575,3925.882801
5,b1,TTE,Test,Explicit,2,67.629,11.112,68.5358168,11.112,67.629,4211.202306
5,b1,TTE,Test,Explicit,3,54.149,18.915,57.35757514,18.915,54.149,2796.640102
5,b1,TTE,Test,Explicit,4,-22.189,-19.991,29.8662318,-19.991,-22.189,1287.772288
5,b1,TTE,Test,Explicit,5,-59.163,17.964,61.83013719,17.964,-59.163,4013.412745
5,b1,TTE,Test,Explicit,6,-31.92,5.168,32.33565561,5.168,-31.92,1217.490108
5,b1,TTE,Test,Explicit,7,-17.955,21.146,27.74050001,21.146,-17.955,679.5886344
5,b1,TTE,Test,Explicit,8,78.905,-13.039,79.97508703,-13.039,78.905,6113.480908
5,b1,TTE,Test,Explicit,9,50.231,10.512,51.31915339,10.512,50.231,2257.757986
5,b1,TTE,Test,Explicit,10,-30.413,2.34,30.50288788,2.34,-30.413,1125.033228
5,b3,TTE,Test,Explicit,1,2.931,-13.736,14.04522898,-13.736,2.931,762.0046374
5,b3,TTE,Test,Explicit,2,-25.549,-20.137,32.53075729,-20.137,-25.549,2911.178765
5,b3,TTE,Test,Explicit,3,-14.833,-9.613,17.67562327,-9.613,-14.833,1565.098678
5,b3,TTE,Test,Explicit,4,-10.039,-7.18,12.34236286,-7.18,-10.039,1168.863881
5,b3,TTE,Test,Explicit,5,-16.778,14.895,22.43573732,14.895,-16.778,1488.814601
5,b3,TTE,Test,Explicit,6,91.892,26.542,95.64840526,26.542,91.892,5400.697583
5,b3,TTE,Test,Explicit,7,7.441,8.644,11.40557833,8.644,7.441,186.5938654
5,b3,TTE,Test,Explicit,8,-21.586,12.974,25.18491755,12.974,-21.586,1849.171493
5,b3,TTE,Test,Explicit,9,31.982,18.776,37.08620363,18.776,31.982,256.1359212
5,b3,TTE,Test,Explicit,10,164.695,40.03,169.4899523,40.03,164.695,21726.87099
5,b6,TTE,Test,Explicit,1,77.248,-12.423,78.24055491,-12.423,77.248,953.022528
5,b6,TTE,Test,Explicit,2,25.211,17.161,30.49744976,17.161,25.211,849.6302426
5,b6,TTE,Test,Explicit,3,129.045,17.324,130.2026613,17.324,129.045,6162.708876
5,b6,TTE,Test,Explicit,4,106.908,-12.048,107.584733,-12.048,106.908,3343.656289
5,b6,TTE,Test,Explicit,5,35.366,-15.36,38.55753566,-15.36,35.366,664.8893074
5,b6,TTE,Test,Explicit,6,111.047,21.8,113.1665861,21.8,111.047,3830.616194
5,b6,TTE,Test,Explicit,7,69.671,19.13,72.24960305,19.13,69.671,536.0192084
5,b6,TTE,Test,Explicit,8,-54.175,9.845,55.06227974,9.845,-54.175,11207.00299
5,b6,TTE,Test,Explicit,9,-9.731,12.581,15.90515394,12.581,-9.731,3819.035535
5,b6,TTE,Test,Explicit,10,25.042,-10.976,27.34180572,-10.976,25.042,949.2176338
5,hp,TTE,Test,Explicit,1,256,5,256.0488235,5,256,52084.11536
5,hp,TTE,Test,Explicit,2,23.965,-21.005,31.86740105,-21.005,23.965,164.9480181
5,hp,TTE,Test,Explicit,3,-60.129,-20.325,63.47127119,-20.325,-60.129,7933.520449
5,hp,TTE,Test,Explicit,4,-72.351,-3.351,72.42856068,-3.351,-72.351,10141.71014
5,hp,TTE,Test,Explicit,5,20.471,-7.432,21.77834854,-7.432,20.471,61.88555105
5,hp,TTE,Test,Explicit,6,-90.558,9.815,91.08833948,9.815,-90.558,14453.74677
5,hp,TTE,Test,Explicit,7,49.521,-15.725,51.95772383,-15.725,49.521,501.2904589
5,hp,TTE,Test,Explicit,8,79.629,-10.632,80.33565251,-10.632,79.629,2647.688491
5,hp,TTE,Test,Explicit,9,24.455,-9.117,26.09917075,-9.117,24.455,14.10385525
5,hp,TTE,Test,Explicit,10,51.028,-16.04,53.48961006,-16.04,51.028,572.2244775
5,lp,TTE,Test,Explicit,1,-111.061,-7.487,111.313076,-7.487,-111.061,12254.63982
5,lp,TTE,Test,Explicit,2,100.136,17.562,101.6643612,17.562,100.136,10762.66085
5,lp,TTE,Test,Explicit,3,1.135,-20.505,20.53638844,-20.505,1.135,154.1185527
5,lp,TTE,Test,Explicit,4,-22.945,-17.093,28.61194985,-17.093,-22.945,589.3894855
5,lp,TTE,Test,Explicit,5,53.267,15.626,55.51166693,15.626,53.267,3442.906042
5,lp,TTE,Test,Explicit,6,8.793,-7.143,11.32869357,-7.143,8.793,84.90103949
5,lp,TTE,Test,Explicit,7,-80.45,-3.861,80.54259631,-3.861,-80.45,6432.671784
5,lp,TTE,Test,Explicit,8,22.433,-18.905,29.33664115,-18.905,22.433,634.6347067
5,lp,TTE,Test,Explicit,9,27.709,-20.482,34.45723444,-20.482,27.709,939.3187929
5,lp,TTE,Test,Explicit,10,-2.642,-19.524,19.70194762,-19.524,-2.642,133.8552321
6,pt,TCA,Teach,Analogy,1,63.5,12,64.62391198,12,63.5,981.8957841
6,pt,TCA,Teach,Analogy,2,-117.339,4.258,117.4162318,4.258,-117.339,22551.377
6,pt,TCA,Teach,Analogy,3,77.693,15.028,79.13307168,15.028,77.693,2101.996139
6,pt,TCA,Teach,Analogy,4,23.222,14.797,27.53565857,14.797,23.222,176.9027391
6,pt,TCA,Teach,Analogy,5,38.134,16.241,41.44842623,16.241,38.134,141.4930239
6,pt,TCA,Teach,Analogy,6,101.465,6.613,101.6802734,6.613,101.465,4712.319561
6,pt,TCA,Teach,Analogy,7,-7.705,15.842,17.61635572,15.842,-7.705,1747.762788
6,pt,TCA,Teach,Analogy,8,-30.87,18.086,35.77793029,18.086,-30.87,4213.21099
6,pt,TCA,Teach,Analogy,9,78.505,-19.915,80.99161839,-19.915,78.505,2737.353686
6,pt,TCA,Teach,Analogy,10,101.657,-26.992,105.1794358,-26.992,101.657,5799.643737
6,b1,TCA,Teach,Analogy,1,-33.85,13.677,36.50866786,13.677,-33.85,1669.38709
6,b1,TCA,Teach,Analogy,2,-2.213,22.559,22.6672859,22.559,-2.213,211.7374222
