ID,Group,Expectation,Instructions,IMI_Q1,IMI_Q2,IMI_Q3,IMI_Q4,IMI_Q5,IMI_Q6,IMI_Q7,IMI_Q8,IMI_Q9,IMI_Q10,IMI_Q11,IMI_Q12,IMI_Q13,IMI_Q14,IMI_Q15,IMI_Q16,IMI_Q17,IMI_Q18,IMI_Q19,IMI_Q20,IMI_Q21,IMI_Q22,IMI_Q23,IMI_Q24,IMI_Q25,IMI_Q26,IMI_Q27,IMI_Q28,IMI_Q29,IMI_Q30,IMI_Q31,IMI_Q32,IMI_Q33,IMI_Q34,IMI_Q35,IMI_Q36,IMI_Q37,MOVE_REINV_Q1,MOVE_REINV_Q2,MOVE_REINV_Q3,MOVE_REINV_Q4,MOVE_REINV_Q5,MOVE_REINV_Q6,MOVE_REINV_Q7,MOVE_REINV_Q8,MOVE_REINV_Q9,MOVE_REINV_Q10,RCSI2_HP_Q1,RCSI2_HP_Q2,RCSI2_HP_Q3,RCSI2_HP_Q4,RCSI2_HP_Q5,RCSI2_HP_Q6,RCSI2_HP_Q7,RCSI2_HP_Q8,RCSI2_HP_Q9,RCSI2_HP_Q10,RCSI2_HP_Q11,RCSI2_HP_Q12,RCSI2_HP_Q13,RCSI2_HP_Q14,RCSI2_HP_Q15,RCSI2_HP_Q16,RCSI2_HP_Q17,RCSI2_LP_Q1,RCSI2_LP_Q2,RCSI2_LP_Q3,RCSI2_LP_Q4,RCSI2_LP_Q5,RCSI2_LP_Q6,RCSI2_LP_Q7,RCSI2_LP_Q8,RCSI2_LP_Q9,RCSI2_LP_Q10,RCSI2_LP_Q11,RCSI2_LP_Q12,RCSI2_LP_Q13,RCSI2_LP_Q14,RCSI2_LP_Q15,RCSI2_LP_Q16,RCSI2_LP_Q17
129,TCA,Teach,Analogy,3,5,4,2,1,1,2,3,4,5,6,7,3,5,5,5,5,3,2,1,4,3,2,2,3,3,4,5,1,1,4,1,3,4,1,4,2,4,5,1,4,4,4,4,3,4,3,50,45,35,55,30,20,35,40,40,30,55,15,15,35,10,30,40,30,45,55,15,15,10,45,35,15,45,15,10,45,30,5,40,10
130,TTA,Test,Analogy,6,6,6,5,6,4,1,3,1,1,3,1,6,4,1,3,4,1,6,5,5,4,5,4,1,6,1,2,2,4,4,3,5,4,3,1,6,2,4,3,1,1,1,4,1,1,1,8,25,75,5,5,0,80,5,0,60,30,0,60,40,10,80,10,5,20,70,15,25,10,75,5,2,60,40,5,60,65,2,60,10
131,TTE,Test,Explicit,5,7,7,2,5,4,1,6,1,1,3,3,7,7,3,4,6,1,7,4,7,7,5,6,2,5,1,1,3,4,7,5,6,7,5,1,6,4,4,3,1,3,1,4,2,4,3,10,50,50,10,90,0,20,50,10,10,60,0,20,0,0,20,0,5,5,50,20,0,0,70,0,0,20,20,0,50,0,0,80,0
132,TCE,Teach,Explicit,7,7,7,1,6,3,1,7,1,1,2,1,6,6,2,1,5,1,4,5,6,7,6,5,1,7,1,1,4,4,4,2,6,7,2,2,7,1,2,2,1,1,2,3,0,1,1,25,85,45,0,90,0,25,75,10,20,80,0,20,0,35,15,0,15,50,50,0,75,0,65,80,0,25,75,0,30,0,30,20,0
133,TTE,Test,Explicit,6,7,7,2,6,3,1,6,2,1,3,2,7,7,1,1,7,2,2,6,6,7,7,2,2,7,1,1,5,NA,1,4,7,7,2,1,6,5,3,4,4,1,2,4,1,4,1,20,30,70,10,50,0,70,10,0,70,30,0,40,20,0,60,10,10,20,70,10,50,0,60,0,0,60,10,0,60,10,0,60,10
134,TCA,Teach,Analogy,4,5,5,4,3,4,3,4,3,4,4,2,4,4,5,5,5,4,4,3,4,4,3,4,4,3,5,4,3,3,4,4,3,4,3,5,4,4,5,5,4,2,2,4,3,3,1,40,55,40,70,35,60,70,69,60,50,19,30,99,0,45,75,80,16,39,50,15,0,0,60,55,30,60,40,40,99,0,10,70,65
135,TTE,Test,Explicit,6,4,3,1,2,1,2,7,2,4,2,1,2,7,4,1,7,2,5,4,5,6,5,7,3,6,1,1,6,4,6,1,6,6,2,2,6,3,4,5,2,2,0,3,5,1,1,20,30,60,20,70,40,60,40,20,60,50,5,50,5,5,70,10,10,50,60,10,70,5,70,60,10,60,30,5,60,5,5,70,5
136,TTA,Test,Analogy,7,7,7,1,6,5,1,6,6,1,2,2,7,7,1,1,6,1,6,5,6,7,7,7,1,7,1,1,6,5,6,5,6,6,5,1,7,1,4,5,4,4,3,4,1,4,4,0,50,50,70,50,0,60,30,0,40,50,0,30,30,0,50,0,0,60,20,30,40,10,30,10,0,40,40,0,20,30,0,30,10
137,TCA,Teach,Analogy,7,7,7,3,7,3,1,6,1,1,4,1,7,7,2,1,7,1,5,7,7,7,7,7,1,7,1,2,6,5,7,4,7,7,4,1,7,4,4,5,4,3,1,5,1,5,2,10,10,50,35,20,20,80,0,0,90,70,0,70,10,0,70,15,10,30,70,15,30,10,60,0,0,70,30,0,55,30,0,65,5
138,TCE,Teach,Explicit,7,7,7,4,6,4,1,3,1,1,3,1,7,7,1,1,7,1,6,6,7,7,7,4,1,7,1,2,6,5,7,5,7,7,4,1,7,5,4,4,3,4,1,4,3,4,3,60,60,10,70,10,70,40,10,50,30,50,60,10,20,0,10,70,60,70,30,70,20,65,10,75,40,20,50,60,40,60,0,10,70
